South Yemen / Gauss Kruger zone 8,2091,4164,16208,9001,9807,4530,8801,0,9102,8802,45,9102,8805,1,9201,8806,8500000,9001,8807,0,9001,,,,,,
South Yemen / Gauss Kruger zone 9,2092,4164,16209,9001,9807,4530,8801,0,9102,8802,51,9102,8805,1,9201,8806,9500000,9001,8807,0,9001,,,,,,
Hanoi 1972 / GK 106 NE,2093,4147,16586,9001,9807,4530,8801,0,9102,8802,106,9102,8805,1,9201,8806,500000,9001,8807,0,9001,,,,,,
WGS 72BE / TM 106 NE,2094,4324,16506,9001,9807,4400,8801,0,9102,8802,106,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
Bissau / UTM zone 28N,2095,4165,16028,9001,9807,4400,8801,0,9102,8802,-15,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
GGRS87 / Greek Grid,2100,4121,19930,9001,9807,4400,8801,0,9102,8802,24,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
NZGD2000 / Mount Eden 2000,2105,4167,17931,9001,9807,4500,8801,-36.5247,9110,8802,174.4551,9110,8805,0.9999,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Bay of Plenty 2000,2106,4167,17932,9001,9807,4500,8801,-37.454,9110,8802,176.2758,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Poverty Bay 2000,2107,4167,17933,9001,9807,4500,8801,-38.3728,9110,8802,177.5308,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Hawkes Bay 2000,2108,4167,17934,9001,9807,4500,8801,-39.3903,9110,8802,176.4025,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Taranaki 2000,2109,4167,17935,9001,9807,4500,8801,-39.0808,9110,8802,174.134,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Tuhirangi 2000,2110,4167,17936,9001,9807,4500,8801,-39.3044,9110,8802,175.3824,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Wanganui 2000,2111,4167,17937,9001,9807,4500,8801,-40.1431,9110,8802,175.2917,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Wairarapa 2000,2112,4167,17938,9001,9807,4500,8801,-40.5531,9110,8802,175.385,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Wellington 2000,2113,4167,17939,9001,9807,4500,8801,-41.1804,9110,8802,174.4635,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Collingwood 2000,2114,4167,17940,9001,9807,4500,8801,-40.4253,9110,8802,172.4019,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Nelson 2000,2115,4167,17941,9001,9807,4500,8801,-41.1628,9110,8802,173.1757,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Karamea 2000,2116,4167,17942,9001,9807,4500,8801,-41.1723,9110,8802,172.0632,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Buller 2000,2117,4167,17943,9001,9807,4500,8801,-41.4838,9110,8802,171.3452,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Grey 2000,2118,4167,17944,9001,9807,4500,8801,-42.2001,9110,8802,171.3259,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Amuri 2000,2119,4167,17945,9001,9807,4500,8801,-42.412,9110,8802,173.0036,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Marlborough 2000,2120,4167,17946,9001,9807,4500,8801,-41.324,9110,8802,173.4807,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Hokitika 2000,2121,4167,17947,9001,9807,4500,8801,-42.531,9110,8802,170.5847,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Okarito 2000,2122,4167,17948,9001,9807,4500,8801,-43.0636,9110,8802,170.1539,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Jacksons Bay 2000,2123,4167,17949,9001,9807,4500,8801,-43.584,9110,8802,168.3622,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Mount Pleasant 2000,2124,4167,17950,9001,9807,4500,8801,-43.3526,9110,8802,172.4337,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Gawler 2000,2125,4167,17951,9001,9807,4500,8801,-43.4455,9110,8802,171.2138,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Timaru 2000,2126,4167,17952,9001,9807,4500,8801,-44.2407,9110,8802,171.0326,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Lindis Peak 2000,2127,4167,17953,9001,9807,4500,8801,-44.4406,9110,8802,169.2803,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Mount Nicholas 2000,2128,4167,17954,9001,9807,4500,8801,-45.0758,9110,8802,168.2355,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Mount York 2000,2129,4167,17955,9001,9807,4500,8801,-45.3349,9110,8802,167.4419,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Observation Point 2000,2130,4167,17956,9001,9807,4500,8801,-45.4858,9110,8802,170.3742,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / North Taieri 2000,2131,4167,17957,9001,9807,4500,8801,-45.5141,9110,8802,170.1657,9110,8805,0.99996,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / Bluff 2000,2132,4167,17958,9001,9807,4500,8801,-46.36,9110,8802,168.2034,9110,8805,1,9201,8806,400000,9001,8807,800000,9001,,,,,,
NZGD2000 / UTM zone 58S,2133,4167,16158,9001,9807,4400,8801,0,9102,8802,165,9102,8805,0.9996,9201,8806,500000,9001,8807,10000000,9001,,,,,,
NZGD2000 / UTM zone 59S,2134,4167,16159,9001,9807,4400,8801,0,9102,8802,171,9102,8805,0.9996,9201,8806,500000,9001,8807,10000000,9001,,,,,,
NZGD2000 / UTM zone 60S,2135,4167,16160,9001,9807,4400,8801,0,9102,8802,177,9102,8805,0.9996,9201,8806,500000,9001,8807,10000000,9001,,,,,,
Accra / Ghana National Grid,2136,4168,19959,9094,9807,4404,8801,4.4,9110,8802,-1,9110,8805,0.99975,9201,8806,900000,9094,8807,0,9094,,,,,,
Accra / TM 1 NW,2137,4168,17001,9001,9807,4400,8801,0,9102,8802,-1,9102,8805,0.9996,9201,8806,500000,9001,8807,0,9001,,,,,,
NAD83(CSRS98) / SCoPQ zone 2,2139,4140,17700,9001,9807,4499,8801,0,9110,8802,-55.3,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
NAD83(CSRS98) / MTM zone 3,2140,4140,17703,9001,9807,4496,8801,0,9110,8802,-58.3,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
NAD83(CSRS98) / MTM zone 4,2141,4140,17704,9001,9807,4496,8801,0,9110,8802,-61.3,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
NAD83(CSRS98) / MTM zone 5,2142,4140,17705,9001,9807,4496,8801,0,9110,8802,-64.3,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
NAD83(CSRS98) / MTM zone 6,2143,4140,17706,9001,9807,4496,8801,0,9110,8802,-67.3,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
